stu_id,x1sex,x1race,x1stdob,x1txmtscor,x1paredu,x1hhnumber,x1famincome,x1poverty185,x1ses,x1stuedexpct,x1paredexpct,x1region,x4hscompstat,x4evratndclg,x4hs2psmos
15260,1,3,-9,-8,-8,-8,-8,-8,-8,-8,-8,2,-8,-8,-8
15261,2,8,199502,51.594,4,5,5,0,0.1833,11,6,2,1,1,2
15262,1,8,-9,-8,-8,-8,-8,-8,-8,-8,-8,4,1,0,-7
15263,2,8,199404,38.5297,-8,-8,-8,-8,-0.3163,10,-8,3,1,0,-7
15264,1,8,199503,48.0703,-8,-8,-8,-8,0.6524,6,-8,2,2,1,3
15265,2,8,199311,54.1722,2,4,4,0,-0.3332,4,6,1,1,0,-7
15266,2,3,199507,46.6432,7,5,2,1,0.4351,10,10,3,1,1,4
15267,2,2,199501,50.9283,4,6,4,0,0.057,11,10,3,1,0,-7
15268,2,5,199501,55.5187,5,5,2,1,0.5002,10,6,3,1,1,3
15269,2,5,199504,48.4157,-8,-8,-8,-8,-0.1325,11,-8,4,2,0,-7
15270,1,4,199400,-8,-8,-8,-8,-8,-8,-8,-8,2,-8,-8,-8
15271,1,8,199503,51.5452,-8,-8,-8,-8,0.2686,11,-8,3,-8,-8,-8
15272,1,2,-9,-8,-8,-8,-8,-8,-8,-8,-8,3,-8,-8,-8
15274,1,8,199503,33.1925,4,4,4,0,0.4529,8,3,3,1,1,30
15276,1,3,199409,43.6364,2,8,1,1,-1.1012,2,4,3,-8,-8,-8
15278,1,6,199405,56.6145,1,3,3,0,-0.3747,11,2,3,-8,-8,-8
15279,1,8,199506,59.6108,-8,-8,-8,-8,0.2372,11,-8,4,3,0,-7
15280,1,5,199309,28.399,2,5,2,1,-0.8455,5,6,1,1,1,24
15281,2,2,199300,-8,-8,-8,-8,-8,-8,-8,-8,3,-8,-8,-8
15282,1,8,199409,36.8441,4,6,3,1,0.5748,10,6,2,1,1,3
15283,1,8,199508,57.9287,3,5,10,0,0.4728,6,6,4,1,1,2
15285,1,8,199412,56.2386,-8,-8,-8,-8,-2e-4,4,-8,3,-8,-8,-8
15286,2,8,199405,36.5861,-8,-8,-8,-8,-0.6307,11,-8,3,1,1,-9
15287,1,8,199410,53.6985,4,6,6,0,0.718,8,8,3,1,1,2
15288,1,8,199401,49.876,4,3,3,0,0.4088,8,10,1,1,1,4
15289,2,8,199507,51.1222,2,5,3,0,-0.5512,4,4,2,1,0,-7
15290,1,1,199403,32.6896,2,8,1,1,-1.46,2,2,4,1,0,-7
15291,1,5,199410,50.1846,-8,-8,-8,-8,-0.1182,11,-8,1,1,1,3
15292,1,8,199502,57.9044,-8,-8,-8,-8,0.3646,11,-8,2,-8,-8,-8
15293,2,8,199502,49.1508,4,6,2,1,0.8108,4,6,1,1,1,3
15294,1,5,199508,39.1902,-8,-8,-8,-8,-0.6003,7,-8,3,3,0,-7
15295,1,8,199408,42.6109,3,7,2,1,-0.4348,8,4,3,1,0,-7
15296,1,6,199407,51.9463,-8,-8,-8,-8,0.03,11,-8,3,1,1,3
